date,n_total,n_total_liq,classifiable_pct,adv,dec,unch,rana,adv_pct,adv_liq,dec_liq,unch_liq,rana_liq,osc,osc_liq
2018-05-01,6003,3483,0.5846497972878513,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
2018-05-02,6032,3591,0.5807622504537205,2802,2627,285,0.032234297292319025,0.5161171486461595,1562,1629,95,-0.020996552804763396,1.6117148646159514,-1.0498276402381699
2018-05-03,5954,3528,0.5855754331595999,2105,3351,218,-0.2283724340175953,0.38581378299120234,1267,1949,78,-0.21206467661691542,-10.04866406595621,-11.495587325048216
2018-05-04,6018,3512,0.5817442512619181,4066,1407,192,0.48583957610085876,0.7429197880504294,2485,707,65,0.5570175438596491,15.742555774657083,18.084877104892662
2018-05-07,6047,3595,0.5784928262989274,3372,2118,230,0.2284153005464481,0.614207650273224,2120,1097,64,0.31799813490829965,24.844122181787625,31.33477935940017
2018-05-08,6004,3572,0.5829596412556054,2865,2625,232,0.04371584699453552,0.5218579234972678,1764,1487,70,0.08520455244540141,23.266768171379677,30.867092767062182
2018-05-09,6047,3608,0.5799748988983405,3438,2041,233,0.2549735353166636,0.6274867676583318,2149,1130,63,0.3107654772796584,32.36468106773039,41.590931508490755
2018-05-10,6038,3543,0.5827187978294143,3562,1981,197,0.28522460761320584,0.642612303806603,2186,1068,68,0.3435771358328211,41.494126803598704,52.19244190252786
2018-05-11,6062,3524,0.5794587092297016,3023,2487,248,0.09727767695099819,0.5486388384754991,1697,1478,87,0.06897637795275591,39.69498574063774,47.26573318591369
2018-05-14,6025,3572,0.581924849839363,2449,3061,243,-0.11107078039927405,0.44446460980036295,1441,1760,77,-0.09965635738831616,27.54082233558931,34.3854318002254
2018-05-15,6014,3619,0.5846475924633636,2329,3183,216,-0.1549346879535559,0.42253265602322204,1505,1755,76,-0.07668711656441718,14.818113134880871,24.34930899765573
2018-05-16,6020,3677,0.5845788517949434,3607,1858,243,0.3200365965233303,0.6600182982616651,2302,1013,75,0.38883861236802414,27.61467042644506,38.92296390309245
2018-05-17,5957,3585,0.5869227510238667,3119,2331,253,0.14458715596330277,0.5722935779816514,1929,1356,83,0.17442922374429223,29.645181530598837,40.46835459653879
2018-05-18,5975,3612,0.5879538418238108,2722,2654,292,0.012648809523809524,0.5063244047619048,1594,1653,91,-0.018170619032953497,24.63612529502267,31.957329727590437
2018-05-21,5959,3512,0.5864746576309473,3545,1878,239,0.30739443112668263,0.6536972155633414,2152,1050,81,0.34415990006246094,34.96748266727358,42.637142770772364
2018-05-22,6014,3555,0.5846925972396487,2217,3220,251,-0.18447673349273497,0.4077616332536325,1260,1940,65,-0.2125,19.032397576240868,23.722202205716012
2018-05-23,6038,3510,0.5812691344280545,2822,2634,263,0.0344574780058651,0.5172287390029325,1651,1531,75,0.03771213073538655,16.259448410456685,19.941923548333573
2018-05-24,6049,3517,0.5825688073394495,2618,2855,250,-0.04330348985930934,0.47834825507034534,1459,1699,78,-0.0759974667511083,9.919231238400217,10.92459580420517
2018-05-25,5999,3444,0.5879960734819801,2713,2766,259,-0.009673298047088885,0.4951633509764556,1458,1652,85,-0.062379421221864954,6.13025899071095,3.841059880416525
2018-05-29,6109,3648,0.582122292295037,2144,3412,227,-0.22822174226061914,0.3858891288696904,1226,1947,72,-0.22722975102426726,-8.067385786693439,-10.477085123944963
2018-05-30,6039,3677,0.5853624599972171,4147,1428,232,0.48771300448430494,0.7438565022421525,2631,704,69,0.5778110944527736,15.630702194805481,17.585328596797734
2018-05-31,6070,3669,0.5828943720543388,1983,3572,242,-0.28604860486048606,0.356975697569757,985,2370,79,-0.4128166915052161,-2.8736665592265163,-8.04062361285074
2018-06-01,6075,3690,0.5849917081260365,3866,1671,258,0.396424056348203,0.6982120281741016,2349,995,86,0.4049043062200957,15.443099549306707,10.975440252229664
2018-06-04,6059,3628,0.5838543837710157,3304,2264,229,0.1867816091954023,0.5933908045977011,2151,1191,66,0.2872531418312388,20.544596716716054,21.296739436169414
2018-06-05,6075,3626,0.5827457486520116,3385,2124,272,0.22889816663641313,0.6144490833182066,2029,1264,88,0.2323109626480413,26.909481683318,27.267857582097182
2018-06-06,6084,3664,0.5822295805739515,3435,2134,231,0.23361465254085115,0.6168073262704256,2211,1105,77,0.3335343787696019,32.452735216567966,37.29799511503297
2018-06-07,6076,3534,0.5829886958919217,2664,2889,255,-0.04051863857374392,0.47974068071312803,1441,1809,83,-0.11323076923076923,23.32328875568411,23.349015330099352
2018-06-08,6014,3571,0.5844174010351098,2959,2510,266,0.08209910404095813,0.5410495520204791,1911,1299,90,0.19065420560747665,21.531882718585095,26.50014127924291
2018-06-11,6030,3661,0.5869413893916191,2983,2503,240,0.08749544294567992,0.54374772147284,1788,1510,65,0.08429351121892056,20.162388088508592,23.743818539936623
2018-06-12,6008,3631,0.5876836948915325,2807,2670,255,0.025013693627898483,0.5125068468139492,1866,1482,70,0.11469534050179211,15.766570773461567,22.78853496927365
2018-06-13,6024,3692,0.5864567367981051,2078,3339,276,-0.23278567472770906,0.38360716263614547,1228,2090,98,-0.2597950572634117,-0.9606543025513226,3.133304953250246
2018-06-14,5973,3682,0.589747191011236,2960,2480,261,0.08823529411764706,0.5441176470588235,1925,1453,80,0.13972764949674363,0.7934199712382253,6.28855210279175
2018-06-15,5977,3901,0.5898442979379998,2535,2883,254,-0.06423034330011074,0.4678848283499446,1606,1802,91,-0.057511737089201875,-5.334095495415796,-0.9071236741615002
2018-06-18,5989,3660,0.5896464646464646,2895,2560,231,0.0614115490375802,0.5307057745187901,1927,1502,93,0.12394284047827354,-4.264356125043355,2.017838033288047
2018-06-19,6006,3725,0.5893255295429208,2356,3108,237,-0.1376281112737921,0.431185944363104,1458,1930,82,-0.13931523022432113,-13.280390198318319,-8.65431243213876
2018-06-20,5986,3670,0.5897830650804758,3470,2012,229,0.2659613279824881,0.6329806639912441,2169,1209,72,0.2841918294849023,-0.7432254171628114,3.4396234675431874
2018-06-21,5987,3702,0.5898082038359233,1588,3891,194,-0.4203321774046359,0.28983391129768205,866,2502,70,-0.4857482185273159,-24.33490867154524,-24.73426185617738
2018-06-22,5964,3972,0.5898085585585585,3186,2255,213,0.1711082521595295,0.5855541260797648,1937,1527,71,0.11836027713625866,-14.812101832476218,-18.49383771549884
2018-06-25,6040,3773,0.5878200692041522,1291,4234,177,-0.5326696832579185,0.23366515837104074,702,2815,56,-0.6007961330679557,-41.784938246782225,-49.02362639685192
2018-06-26,6001,3681,0.5885562395075545,3236,2243,229,0.1812374520897974,0.5906187260448987,2011,1390,72,0.18259335489561893,-28.942431922394157,-35.71200318924581
2018-06-27,6065,3733,0.5871332139413142,1296,4241,198,-0.5318764674011197,0.23406176629944014,601,2814,44,-0.6480234260614934,-53.47307282997625,-65.68284437865198
2018-06-28,6071,3703,0.5841611479028698,2914,2589,270,0.059058695257132476,0.5295293476285662,1932,1418,106,0.15343283582089554,-44.63264730889644,-50.90668627958154
2018-06-29,6096,3724,0.5840683572216097,3169,2416,223,0.13482542524619517,0.5674127126230976,1763,1619,80,0.04257835600236547,-33.062583752375595,-43.56126166440492
2018-07-02,6044,3596,0.5899031811894883,3096,2468,214,0.11286843997124371,0.5564342199856218,1945,1377,75,0.17098133654425046,-24.102715756535957,-30.642968283012628
2018-07-03,5919,3250,0.5905276632058029,3189,2214,276,0.1804553026096613,0.5902276513048307,1739,1297,76,0.14558629776021081,-12.94217190938951,-20.71436453970914
2018-07-05,6104,3610,0.5847632120796157,3822,1645,217,0.39820742637644047,0.6991037131882202,2300,753,66,0.5067147068457255,7.552410127806615,5.934583937789624
2018-07-06,6100,3566,0.5817480011028399,3974,1578,266,0.4315561959654179,0.715778097982709,2447,811,77,0.5021485573971762,26.704954198419145,28.461454493934653
2018-07-09,6135,3606,0.5822957996990012,3532,2074,228,0.2600784873349982,0.6300392436674991,2143,1118,62,0.31432076050291324,34.372969176279774,38.18823170225583
2018-07-10,6117,3601,0.5828626532580246,2450,3110,300,-0.11870503597122302,0.44064748201438847,1396,1869,75,-0.14486983154670752,21.81808097115815,23.35415545437812
2018-07-11,6062,3566,0.5830790568654647,1814,3730,261,-0.34559884559884557,0.3272005772005772,996,2272,71,-0.390452876376989,-0.37012933045776214,-1.724902756343287
2018-07-12,6088,3518,0.5793046128272614,3206,2336,252,0.1569830386142187,0.5784915193071093,1980,1219,80,0.2378868396373867,5.7898957189661395,8.258112787990415
2018-07-13,6032,3485,0.5830078125,2519,2950,279,-0.07880782592795758,0.46059608703602123,1449,1703,97,-0.08058375634517767,-0.7617755694800734,0.8287707153275605
2018-07-16,6053,3574,0.5857717376230759,1972,3514,247,-0.2810791104629967,0.35946044476850164,1057,2126,85,-0.335846685516808,-16.47320987000614,-18.290607068957332
2018-07-17,6083,3566,0.5838277908099904,3131,2388,248,0.134625838014133,0.5673129190070665,1975,1248,77,0.22556624263108904,-9.038872723749407,-6.475575631781281
2018-07-18,6070,3557,0.5842805655669532,3042,2477,280,0.10237361840913209,0.5511868092045661,1791,1427,83,0.11311373523927906,-4.249931080331202,-1.9639712444273483
2018-07-19,6107,3608,0.583047121857398,3132,2388,282,0.13478260869565217,0.5673913043478261,1868,1349,97,0.16133043207957726,1.4863131945190289,4.314105204997309
2018-07-20,6024,3551,0.5863947478698143,2539,2927,287,-0.07098426637394804,0.46450786681302597,1315,1908,96,-0.183990071362085,-3.904973269936635,-7.605735128852702
2018-07-23,6005,3501,0.5887232845894264,2515,2921,252,-0.07468727005150846,0.4626563649742458,1513,1665,73,-0.04782882315921964,-8.680148514574562,-10.951107528506935
2018-07-24,6069,3581,0.5888185072982649,2119,3383,223,-0.22973464194838242,0.3851326790258088,1143,2087,72,-0.29226006191950465,-20.47189120101082,-25.97820733058302
2018-07-25,6094,3565,0.585936424934636,3126,2363,278,0.13900528329386044,0.5695026416469302,1944,1306,84,0.1963076923076923,-12.014475479796616,-14.26809891334531
2018-07-26,6042,3549,0.5885460105643592,3257,2210,255,0.1915127126394732,0.5957563563197366,1974,1246,78,0.22608695652173913,-2.097941193478857,-2.695652511338003
2018-07-27,5965,3630,0.5930577113023846,1437,4018,210,-0.4731439046746104,0.2634280476626948,731,2545,48,-0.5537240537240538,-26.841645538413957,-31.778283087354705
2018-07-30,5983,3558,0.5905178495837449,2175,3228,243,-0.1948917268184342,0.4025541365907829,1240,2027,66,-0.2408937863483318,-33.95069563283259,-40.84352744562612
2018-07-31,6024,3646,0.5892982210393612,3614,1819,233,0.3303883673845021,0.665194183692251,2280,990,72,0.3944954128440367,-13.595175275249543,-16.62063377510162
2018-08-01,5995,3533,0.5902514398089619,2355,3081,241,-0.1335540838852097,0.43322295805739514,1376,1863,78,-0.150355047854276,-19.32035205662538,-23.069479552843298
2018-08-02,5957,3486,0.592482690405539,3126,2291,226,0.15414436034705556,0.5770721801735278,1933,1248,68,0.21534108770826785,-9.733854232805331,-10.183088516921027
2018-08-03,5949,3485,0.5940650291069147,2610,2803,218,-0.035654904858673564,0.48217254757066325,1531,1651,55,-0.03771213073538655,-10.978692582561616,-11.766969660805598
2018-08-06,5990,3467,0.5903139518513304,3223,2143,256,0.20126723816623182,0.600633619083116,1904,1225,79,0.21700223713646533,-0.14202875744516105,-0.3266347969302849
2018-08-07,5979,3532,0.5925873731679819,2904,2484,267,0.0779510022271715,0.5389755011135857,1781,1392,68,0.12259691144027735,2.9582171598636178,4.736218400858364
2018-08-08,5958,3554,0.5936040752794679,2653,2696,273,-0.00803888577304169,0.49598055711347916,1527,1675,93,-0.0462211118051218,1.2946419333526444,0.6003756306934074
2018-08-09,5929,3517,0.5932203389830508,2722,2613,274,0.020431115276476102,0.510215557638238,1637,1553,74,0.026332288401253918,1.2893119574948901,0.6888981943676888
2018-08-10,5957,3532,0.5918136908962597,1938,3393,268,-0.27293190770962295,0.3635340461451885,1135,2059,88,-0.28929242329367566,-13.389842880955918,-15.02009508940912
2018-08-13,5990,3567,0.5930541940904636,1822,3578,244,-0.3251851851851852,0.33740740740740743,988,2214,88,-0.3828856964397252,-28.486234927204695,-33.05584752889373
2018-08-14,5975,3572,0.5921219822109276,3572,1866,226,0.31371827877896286,0.6568591393894814,2272,937,79,0.4160174509192895,-9.30604575390397,-8.365979259057855
2018-08-15,6038,3641,0.5915961725142144,1466,4008,190,-0.464377055169894,0.267811472415053,782,2487,58,-0.5215662282043438,-31.76522047940518,-34.09349594823457
2018-08-16,5983,3497,0.5931441416128126,3894,1574,215,0.4242867593269934,0.7121433796634967,2409,825,62,0.4897959183673469,-6.37579804246731,-5.351947909154943
2018-08-17,5962,3539,0.5950063478628862,3349,2011,287,0.2496268656716418,0.6248134328358209,2090,1044,96,0.3337587747287811,6.631042448559326,11.446978221875622
2018-08-20,6034,3492,0.5887040402628267,3406,2015,237,0.2565947242206235,0.6282973621103117,1990,1159,59,0.26389329946014606,18.06712878359339,22.259551409365628
2018-08-21,6061,3530,0.5880227872724746,3593,1874,241,0.314432046826413,0.6572160234132065,2206,957,69,0.394878280113816,30.646513086419024,37.94225276030625
